epoch loss mean_absolute_percentage_error root_mean_squared_error val_loss val_mean_absolute_percentage_error val_root_mean_squared_error
0 58.44029235839844 107.28502655029297 7.644625186920166 45.07646179199219 69.48664093017578 6.713900566101074
1 44.384525299072266 76.42186737060547 6.662171363830566 32.98198699951172 56.74321746826172 5.742994785308838
2 33.209571838378906 64.14740753173828 5.762774467468262 23.744544982910156 58.22217559814453 4.872837543487549
3 23.973159790039062 59.045806884765625 4.896239280700684 17.898086547851562 50.296531677246094 4.2306132316589355
4 18.644460678100586 57.140403747558594 4.317923069000244 14.253711700439453 32.45359802246094 3.7754087448120117
5 14.471095085144043 53.1777458190918 3.804089307785034 11.922882080078125 53.147274017333984 3.4529526233673096
6 12.030234336853027 47.574337005615234 3.4684627056121826 10.134212493896484 42.857887268066406 3.1834278106689453
7 10.104456901550293 46.92225646972656 3.17875075340271 8.629524230957031 47.824249267578125 2.937605142593384
8 8.427492141723633 43.60685729980469 2.9030144214630127 6.3538007736206055 39.17441177368164 2.520674705505371
9 7.027377128601074 40.46277618408203 2.6509201526641846 5.287856578826904 25.561115264892578 2.2995340824127197
10 6.111227512359619 40.973426818847656 2.4720897674560547 4.4741973876953125 37.443119049072266 2.115229845046997
11 4.90187931060791 37.78937530517578 2.2140188217163086 4.4772796630859375 27.543363571166992 2.1159582138061523
12 4.033201694488525 34.50370788574219 2.0082833766937256 3.6733791828155518 30.563243865966797 1.9166061878204346
13 3.624513864517212 35.65770721435547 1.9038156270980835 2.8050942420959473 29.813318252563477 1.6748415231704712
14 2.9750072956085205 33.1108512878418 1.7248209714889526 2.170811176300049 25.662425994873047 1.4733673334121704
15 2.5169057846069336 32.52598571777344 1.5864758491516113 2.0793185234069824 29.8575496673584 1.4419841766357422
16 2.0545501708984375 28.927867889404297 1.4333702325820923 1.7840570211410522 21.053905487060547 1.3356859683990479
17 2.029733896255493 29.548416137695312 1.4246872663497925 1.4509198665618896 23.318700790405273 1.2045413255691528
18 1.6882820129394531 27.748659133911133 1.2993390560150146 1.7212284803390503 18.81509017944336 1.3119559288024902
19 1.6749905347824097 28.975914001464844 1.2942142486572266 1.8529987335205078 25.529308319091797 1.3612489700317383
20 1.4636467695236206 27.308820724487305 1.2098126411437988 1.3365826606750488 20.506397247314453 1.15610671043396
21 1.2829176187515259 26.939838409423828 1.1326595544815063 1.201479434967041 26.846233367919922 1.0961201190948486
22 1.1429708003997803 23.938188552856445 1.0690981149673462 0.9945312142372131 16.666784286499023 0.9972618818283081
23 1.0333225727081299 23.491416931152344 1.0165247917175293 1.1972445249557495 20.264049530029297 1.0941866636276245
24 1.0053099393844604 23.651121139526367 1.0026514530181885 1.0219883918762207 20.17633056640625 1.0109344720840454
25 0.9641512036323547 23.855546951293945 0.9819120168685913 1.033732533454895 21.64752197265625 1.0167263746261597
26 0.8219554424285889 22.70941162109375 0.9066175818443298 0.9347949028015137 18.67548942565918 0.9668478965759277
27 0.8442239165306091 22.243270874023438 0.9188165664672852 0.7710779309272766 15.397109031677246 0.878110408782959
28 0.7492972612380981 21.373390197753906 0.8656195998191833 0.9433035850524902 24.679645538330078 0.9712381958961487
29 0.6784311532974243 20.44356346130371 0.8236693143844604 0.6226158142089844 14.82475471496582 0.7890600562095642
30 0.6424723267555237 19.869443893432617 0.8015437126159668 0.6682084202766418 14.681232452392578 0.8174401521682739
31 0.5627263188362122 17.36223793029785 0.7501508593559265 0.6960701942443848 15.768625259399414 0.8343082070350647
32 0.6568870544433594 20.825088500976562 0.8104856610298157 0.5465633869171143 15.344871520996094 0.7392992377281189
33 0.6610256433486938 19.8220157623291 0.8130348324775696 0.7127624154090881 22.99212646484375 0.8442525863647461
34 0.592811644077301 20.538301467895508 0.7699426412582397 0.5052601099014282 16.612823486328125 0.710816502571106
35 0.5008413195610046 17.373498916625977 0.7077014446258545 0.4559423625469208 13.925386428833008 0.6752350330352783
